관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,1월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
삼양해수욕장,제주특별자치도 제주시 삼양이동 ,관광지,자연,자연관광지,해수욕장,3979.0,1.0,233.0,41.0,27.0,29.0,38.0,22.0,30.0,46.0
서귀포치유의숲,제주특별자치도 서귀포시 산록남로 2271 (호근동),관광지,인문(문화/예술/역사),휴양관광지,헬스투어,11271.0,1.0,502.0,78.0,87.0,73.0,50.0,71.0,56.0,87.0
서귀포잠수함,제주특별자치도 서귀포시 남성중로 40 ,관광지,인문(문화/예술/역사),휴양관광지,유람선/잠수함관광,1510.0,1.0,496.0,89.0,79.0,68.0,59.0,72.0,54.0,75.0
서귀포항,제주특별자치도 서귀포시 칠십리로72번길 14 (서귀동),관광지,자연,자연관광지,항구/포구,2308.0,1.0,251.0,55.0,38.0,25.0,45.0,30.0,25.0,33.0
서프라이즈테마파크,제주특별자치도 제주시 조천읍 남조로 2243 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,1994.0,1.0,183.0,32.0,25.0,29.0,33.0,20.0,20.0,24.0
성읍랜드,제주특별자치도 서귀포시 표선면 번영로 2650 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,1912.0,1.0,216.0,36.0,35.0,27.0,36.0,23.0,26.0,33.0
세화해변,제주특별자치도 제주시 구좌읍 세화길 (구좌읍),관광지,자연,자연관광지,해수욕장,11079.0,1.0,965.0,179.0,150.0,123.0,119.0,126.0,120.0,148.0
소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3988.0,1.0,431.0,85.0,60.0,59.0,60.0,65.0,46.0,56.0
소정방폭포,제주특별자치도 서귀포시 칠십리로214번길 17-17 (동홍동) ,관광지,자연,자연관광지,폭포,1705.0,1.0,90.0,14.0,12.0,14.0,11.0,17.0,9.0,13.0
송악산진지동굴,제주특별자치도 서귀포시 대정읍 상모리 238 ,관광지,자연,자연관광지,동굴,2483.0,1.0,208.0,34.0,43.0,24.0,35.0,24.0,17.0,31.0
송악산둘레길,제주특별자치도 서귀포시 대정읍 상모리 245,관광지,레포츠,육상 레포츠,트래킹,18146.0,1.0,149.0,28.0,26.0,19.0,26.0,18.0,10.0,22.0
송악카트체험장,제주특별자치도 서귀포시 대정읍 송악관광로 404 ,레포츠,레포츠,육상 레포츠,카트,540.0,1.0,54.0,15.0,6.0,5.0,8.0,9.0,2.0,9.0
쇠소깍,제주특별자치도 서귀포시 쇠소깍로 128 (하효동),관광지,자연,자연관광지,계곡,38097.0,1.0,3381.0,613.0,642.0,452.0,379.0,402.0,380.0,513.0
수목원테마파크,제주특별자치도 제주시 은수길 69 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3236.0,1.0,285.0,43.0,57.0,44.0,34.0,32.0,33.0,42.0
술다끄는집,제주특별자치도 서귀포시 성읍정의현로56번길 5 ,문화시설,인문(문화/예술/역사),체험관광지,이색체험,299.0,1.0,25.0,7.0,3.0,6.0,2.0,5.0,0.0,2.0
스누피가든,제주특별자치도 제주시 구좌읍 금백조로 930 스누피 공원,관광지,인문(문화/예술/역사),휴양관광지,테마공원,4482.0,1.0,368.0,71.0,71.0,51.0,51.0,40.0,35.0,49.0
스타빌,제주특별자치도 서귀포시 광평로 34-154 ,레포츠,레포츠,육상 레포츠,"야영장,오토캠핑장",910.0,1.0,101.0,16.0,22.0,13.0,17.0,10.0,8.0,15.0
신도포구,제주특별자치도 서귀포시 대정읍 신도리 3046-2 ,관광지,자연,자연관광지,항구/포구,569.0,1.0,48.0,16.0,9.0,3.0,4.0,6.0,1.0,9.0
신비의도로,제주특별자치도 제주시 노형동 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,4799.0,1.0,425.0,85.0,71.0,54.0,38.0,62.0,46.0,69.0
