관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,1월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,위도,경도
모이소,"제주특별자치도 제주시 신광로8길 14 (연동,송네하우스)",쇼핑,쇼핑,쇼핑,공예/공방,334.0,1.0,27.0,4.0,3.0,2.0,4.0,6.0,1.0,7.0,33.4871211,126.4885456
모지오름,제주특별자치도 서귀포시 표선면 성읍리 산22,관광지,자연,자연관광지,산,550.0,1.0,53.0,13.0,10.0,6.0,6.0,6.0,7.0,5.0,33.395118,126.7701692
목장카페드르쿰다,제주특별자치도 서귀포시 표선면 번영로 2454 ,음식점,음식,음식점,카페/전통찻집,1354.0,1.0,116.0,17.0,15.0,21.0,17.0,15.0,14.0,17.0,,
몬스터살롱,제주특별자치도 제주시 일주서로 6017 ,음식점,음식,음식점,서양식,215.0,1.0,26.0,5.0,6.0,3.0,3.0,4.0,4.0,1.0,33.448277,126.3072349
몰질식육식당,제주특별자치도 서귀포시 이어도로 598 ,음식점,음식,음식점,한식,258.0,1.0,26.0,7.0,1.0,4.0,2.0,5.0,3.0,4.0,33.235374,126.4803004
몽생이,제주특별자치도 제주시 한경면 녹차분재로 628 ,음식점,음식,음식점,한식,723.0,1.0,38.0,5.0,5.0,5.0,4.0,6.0,6.0,7.0,33.3246675,126.2604681
무거버거,제주특별자치도 제주시 조함해안로 356 ,음식점,음식,음식점,서양식,369.0,1.0,52.0,4.0,13.0,7.0,7.0,8.0,3.0,10.0,33.548942,126.6549672
무릉자전거도로,제주특별자치도 제주시 한경면 판포리 1610,레포츠,레포츠,육상 레포츠,트래킹,350.0,1.0,61.0,10.0,8.0,11.0,7.0,6.0,7.0,12.0,,
무비랜드왁스뮤지엄,제주특별자치도 서귀포시 중문관광로 205 (중문동) ,문화시설,인문(문화/예술/역사),문화시설,박물관,969.0,1.0,95.0,17.0,13.0,15.0,8.0,8.0,9.0,25.0,33.2436726,126.4215188
무수천,제주특별자치도 제주시 애월읍 무수천길 (애월읍) 일대,관광지,자연,자연관광지,계곡,814.0,1.0,53.0,9.0,9.0,8.0,6.0,5.0,6.0,10.0,33.4633826,126.4445845
무인카페산책,제주특별자치도 제주시 애월읍 고내로7길 49 ,음식점,음식,음식점,카페/전통찻집,443.0,1.0,61.0,13.0,7.0,6.0,10.0,7.0,3.0,15.0,,
문도지오름,제주특별자치도 제주시 한림읍 금악리 3444 ,관광지,자연,자연관광지,산,1495.0,1.0,127.0,24.0,18.0,14.0,13.0,14.0,20.0,24.0,,
문서프,제주특별자치도 제주시 애월읍 곽지7길 1 ,레포츠,레포츠,수상 레포츠,윈드서핑/제트스키,405.0,1.0,43.0,4.0,10.0,8.0,4.0,4.0,5.0,8.0,33.4501389,126.3083862
물고기나무게스트하우스,제주특별자치도 서귀포시 성산읍 중산간동로 4204-14 ,숙박,숙박,숙박시설,펜션,315.0,1.0,39.0,7.0,5.0,6.0,4.0,6.0,5.0,6.0,33.3789432,126.8407648
물뫼힐링팜,제주특별자치도 제주시 애월읍 예원로 51 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,987.0,1.0,68.0,13.0,19.0,8.0,9.0,7.0,4.0,8.0,33.4642593,126.3965364
물영아리오름,제주특별자치도 서귀포시 남원읍 태수로 552 ,관광지,자연,자연관광지,산,7805.0,1.0,529.0,87.0,86.0,71.0,54.0,61.0,76.0,94.0,33.3325498,126.7030501
미도모텔,제주특별자치도 서귀포시 성산읍 성산등용로 1 ,숙박,숙박,숙박시설,모텔,265.0,1.0,35.0,5.0,5.0,3.0,6.0,4.0,5.0,7.0,33.4641765,126.9335918
미스틱3도,제주특별자치도 제주시 1100로 2894-49 1층,음식점,음식,음식점,카페/전통찻집,248.0,1.0,25.0,7.0,3.0,1.0,7.0,1.0,2.0,4.0,33.4499557,126.4876618
미엘드세화,제주특별자치도 제주시 해맞이해안로 1464 ,음식점,음식,음식점,카페/전통찻집,179.0,1.0,15.0,3.0,5.0,1.0,1.0,2.0,0.0,3.0,33.5290971,126.8463777
미영이네식당,제주특별자치도 서귀포시 대정읍 하모항구로 42 ,음식점,음식,음식점,한식,423.0,1.0,100.0,20.0,15.0,10.0,13.0,13.0,10.0,19.0,33.2177154,126.2499247
미천굴,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30 ,관광지,자연,자연관광지,동굴,1936.0,1.0,163.0,44.0,23.0,22.0,15.0,20.0,20.0,19.0,33.3831862,126.8418892
미친부엌,"제주특별자치도 제주시 탑동로 15 1,2층",음식점,음식,음식점,일식,869.0,1.0,88.0,11.0,17.0,5.0,19.0,15.0,8.0,13.0,33.5170061,126.523159
미쿠니,제주특별자치도 제주시 서흘길 41 ,음식점,음식,음식점,카페/전통찻집,165.0,1.0,22.0,3.0,2.0,1.0,4.0,2.0,3.0,7.0,33.5290919,126.58961
밀레니엄빌,제주특별자치도 서귀포시 보목로64번길 196 ,숙박,숙박,숙박시설,펜션,129.0,1.0,20.0,2.0,5.0,0.0,5.0,1.0,3.0,4.0,33.2451899,126.5899481
바그다드,제주특별자치도 제주시 관덕로8길 34 ,음식점,음식,음식점,이색음식점,28.0,1.0,28.0,6.0,2.0,2.0,7.0,3.0,1.0,7.0,33.497497,126.5296421
바늘오름,제주특별자치도 제주시 조천읍 교래리 산 108,관광지,자연,자연관광지,산,474.0,1.0,62.0,15.0,9.0,6.0,8.0,6.0,9.0,9.0,33.4180631,126.6534847
바다는안보여요,제주특별자치도 제주시 구좌읍 종달로5길 31-1 ,음식점,음식,음식점,카페/전통찻집,214.0,1.0,25.0,6.0,5.0,3.0,4.0,1.0,4.0,2.0,33.4933905,126.8994254
