관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,7월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
연대포구,제주특별자치도 제주시 연대마을길 34-10 (외도이동),관광지,자연,자연관광지,항구/포구,428.0,7.0,37.0,9.0,4.0,5.0,6.0,5.0,5.0,3.0
오조포구,제주특별자치도 서귀포시 성산읍 오조로80번길 47 ,관광지,자연,자연관광지,항구/포구,1290.0,7.0,113.0,24.0,9.0,24.0,16.0,11.0,18.0,11.0
용담레포츠공원,제주특별자치도 제주시 서해안로 580 (용담삼동) ,관광지,인문(문화/예술/역사),휴양관광지,공원,1821.0,7.0,140.0,24.0,24.0,20.0,14.0,16.0,18.0,24.0
용두암,제주특별자치도 제주시 용두암길 (제주올레길17코스),관광지,자연,자연관광지,해안절경,16135.0,7.0,1002.0,205.0,149.0,125.0,117.0,118.0,136.0,152.0
용머리해안,제주특별자치도 서귀포시 안덕면 사계리 118-3 ,관광지,자연,자연관광지,해안절경,48526.0,7.0,2456.0,418.0,290.0,320.0,285.0,348.0,341.0,454.0
용수항,제주특별자치도 제주시 한경면 용수리 4234-4 ,관광지,자연,자연관광지,항구/포구,443.0,7.0,44.0,9.0,3.0,8.0,5.0,4.0,9.0,6.0
용연,제주특별자치도 제주시 용담일동 2581-4,관광지,자연,자연관광지,계곡,4859.0,7.0,476.0,84.0,72.0,52.0,68.0,51.0,68.0,81.0
우도등대,제주특별자치도 제주시 우도면 우도봉길 105 (우도면) 부근,관광지,자연,자연관광지,등대,1336.0,7.0,80.0,20.0,20.0,6.0,10.0,5.0,9.0,10.0
우도,제주특별자치도 제주시 삼양고수물길 1 ,관광지,자연,자연관광지,섬,75874.0,7.0,6426.0,1126.0,898.0,811.0,824.0,821.0,921.0,1025.0
월령선인장군락지,제주특별자치도 제주시 한림읍 월령3길 27-4 ,관광지,자연,자연관광지,자연생태관광지,5452.0,7.0,354.0,68.0,47.0,49.0,58.0,40.0,50.0,42.0
월령포구,제주특별자치도 제주시 한림읍 월령리 317-1 ,관광지,자연,자연관광지,항구/포구,670.0,7.0,61.0,12.0,9.0,10.0,8.0,7.0,9.0,6.0
월정리해변,제주특별자치도 제주시 구좌읍 해맞이해안로 480-1 ,관광지,자연,자연관광지,해수욕장,14585.0,7.0,1475.0,296.0,194.0,182.0,193.0,178.0,203.0,229.0
월정리해안도로,제주특별자치도 제주시 구좌읍 월정리 652-4 ,관광지,자연,자연관광지,자연생태관광지,1135.0,7.0,93.0,15.0,7.0,11.0,20.0,10.0,15.0,15.0
월평포구,제주특별자치도 서귀포시 말질로 462 (월평동),관광지,자연,자연관광지,항구/포구,951.0,7.0,98.0,16.0,17.0,11.0,21.0,7.0,14.0,12.0
위미항,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-13 ,관광지,자연,자연관광지,항구/포구,1353.0,7.0,100.0,22.0,16.0,10.0,13.0,10.0,15.0,14.0
이상한나라의앨리스,제주특별자치도 서귀포시 안덕면 중산간서로 1881 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,2759.0,7.0,225.0,45.0,36.0,23.0,28.0,26.0,27.0,40.0
이호테우말등대,제주특별자치도 제주시 이호일동 375-43 ,관광지,자연,자연관광지,등대,5223.0,7.0,379.0,61.0,35.0,59.0,57.0,58.0,54.0,55.0
일출랜드,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30 ,관광지,인문(문화/예술/역사),휴양관광지,공원,4391.0,7.0,376.0,57.0,57.0,38.0,62.0,65.0,42.0,55.0
자구내포구,제주특별자치도 제주시 한경면 노을해안로 1161 ,관광지,자연,자연관광지,항구/포구,1316.0,7.0,66.0,9.0,11.0,11.0,9.0,5.0,10.0,11.0
장생의숲길,제주특별자치도 제주시 명림로 584 (봉개동) ,관광지,자연,자연관광지,자연휴양림,1756.0,7.0,132.0,23.0,14.0,15.0,21.0,10.0,24.0,25.0
